Symbol,Return on Assets (5Y),Return on Capital,Return on Assets,Return on Capital (5Y),Asset Turnover
LLY,13.96%,18.45%,12.20%,22.91%,0.59
WMT,5.68%,14.42%,6.10%,11.67%,2.61
JPM,1.10%,5.16%,1.30%,5.22%,0.04
V,16.76%,31.14%,20.90%,23.73%,0.38
UNH,8.20%,14.15%,5.00%,16.13%,1.37
XOM,5.88%,11.47%,8.60%,8.98%,0.89
NVO,29.18%,52.32%,28.00%,58.24%,0.80
ORCL,8.28%,14.74%,7.90%,14.67%,0.39
MA,26.04%,48.85%,28.20%,46.58%,0.62
HD,21.32%,23.40%,18.00%,34.04%,1.85
PG,12.02%,16.78%,11.70%,17.83%,0.69
COST,9.10%,22.02%,10.60%,18.45%,3.66
JNJ,12.00%,16.37%,8.40%,18.00%,0.46
ABBV,7.04%,12.00%,3.80%,17.53%,0.39
NFLX,9.24%,21.59%,15.60%,14.66%,0.76
BAC,0.86%,2.79%,0.70%,3.83%,0.03
CRM,2.70%,7.90%,5.90%,1.72%,0.39
KO,10.06%,10.72%,10.30%,13.07%,0.46
CVX,5.48%,10.47%,7.10%,7.84%,0.77
SAP,6.64%,12.34%,3.90%,8.44%,0.47
ASML,17.04%,32.39%,17.20%,31.84%,0.65
TMUS,2.52%,7.37%,5.00%,4.38%,0.38
MRK,9.44%,17.13%,12.70%,11.29%,0.58
AMD,14.64%,2.84%,2.70%,20.07%,0.36
PEP,8.92%,15.40%,9.30%,15.82%,0.92
TM,4.28%,5.12%,5.60%,3.99%,0.53
BABA,6.88%,6.76%,3.90%,7.07%,0.53
CSCO,11.60%,13.45%,9.20%,20.05%,0.48
AZN,3.40%,10.31%,6.40%,7.70%,0.49
NVS,10.92%,17.07%,17.80%,9.66%,0.51
LIN,4.64%,10.57%,7.90%,6.24%,0.41
WFC,0.74%,3.81%,0.90%,3.61%,0.04
ACN,14.38%,22.54%,13.60%,24.69%,1.22
TMO,8.10%,7.71%,6.20%,10.07%,0.43
ADBE,18.80%,25.14%,18.10%,25.40%,0.71
MCD,13.04%,19.75%,15.40%,17.22%,0.48
SHEL,3.62%,8.32%,4.60%,6.31%,0.76
ABT,7.74%,10.35%,7.90%,10.89%,0.56
PM,18.42%,26.36%,14.90%,39.63%,0.56
NOW,6.16%,9.00%,7.50%,7.29%,0.59
IBM,4.20%,9.58%,4.70%,7.85%,0.46
AXP,3.28%,11.68%,3.70%,9.39%,0.22
MS,0.94%,2.72%,0.80%,3.38%,0.05
TXN,29.88%,15.87%,14.40%,33.24%,0.46
GE,,8.85%,4.30%,1.55%,0.37
QCOM,18.98%,21.85%,16.70%,28.58%,0.72
CAT,7.98%,19.82%,12.90%,11.61%,0.78
ISRG,12.34%,12.58%,13.70%,12.60%,0.48
DHR,6.40%,5.20%,4.80%,6.90%,0.25
INTU,12.94%,12.15%,9.70%,13.72%,0.54
VZ,5.52%,5.60%,2.60%,9.57%,0.35
DIS,1.70%,4.05%,2.40%,2.40%,0.45
RY,0.86%,13.59%,0.80%,12.24%,0.03
GS,0.86%,1.18%,0.60%,1.55%,0.03
AMGN,10.34%,8.28%,4.50%,17.32%,0.35
PDD,4.50%,31.28%,26.80%,2.26%,0.93
CMCSA,4.40%,9.18%,5.50%,7.39%,0.46
