Symbol,Price Target Upside (%),Analyst Rating,Rev Growth Next Year,EPS Growth Next Year,Revenue Growth Next 5Y,EPS Growth Next 5Y,Top Analyst Price Target Upside (%),Top Analyst Rating,EPS Growth This Quarter,EPS Growth This Year,EPS Growth Next Quarter,Price Target,Stock Price,Analyst Count,Top Analyst Count,Top Analyst Price Target,Rev Growth Next Quarter,Rev Growth This Year,Rev Growth This Quarter
ADBE,24.58%,Buy,10.96%,12.45%,11.70%,19.83%,24.97%,Buy,51.45%,57.71%,47.29%,605.96,486.42,27,17,607.88,11.93%,12.67%,11.98%
MCD,7.51%,Buy,3.75%,6.96%,6.09%,10.17%,12.67%,Buy,9.99%,3.25%,9.70%,319.64,297.32,29,2,335.00,6.37%,3.25%,7.07%
SHEL,21.67%,Buy,-8.31%,-6.81%,,3.06%,,,1431.71%,44.75%,4.45%,83.00,68.22,5,,,2.74%,4.86%,-14.02%
ABT,9.79%,Buy,7.17%,10.43%,6.50%,15.26%,9.57%,Buy,49.24%,44.82%,61.54%,129.25,117.73,16,2,129.00,7.75%,5.78%,8.90%
PM,-5.34%,Buy,6.88%,10.80%,6.22%,12.37%,,,10.14%,33.38%,28.45%,125.13,132.19,13,,,9.67%,10.41%,8.81%
NOW,-0.79%,Buy,20.51%,20.11%,19.69%,27.77%,-2.06%,Buy,160.65%,66.98%,135.34%,963.36,971.04,28,23,951.04,20.90%,23.56%,22.65%
IBM,0.24%,Hold,4.80%,3.50%,4.03%,9.18%,5.89%,Buy,7.16%,27.28%,-6.65%,208.07,207.57,14,5,219.80,3.10%,2.57%,2.43%
AXP,-7.50%,Hold,7.97%,13.10%,,7.95%,0.45%,Buy,15.15%,20.42%,4.77%,255.25,275.94,22,6,277.17,,,
MS,-7.05%,Buy,4.71%,8.11%,4.38%,11.02%,,,97.90%,45.77%,4.98%,109.50,117.81,18,,,6.74%,15.72%,17.47%
TXN,0.49%,Hold,10.96%,15.43%,6.96%,8.51%,2.84%,Hold,-18.45%,-27.22%,14.75%,203.45,202.46,23,20,208.21,14.37%,-10.60%,-4.02%
GE,11.86%,Strong Buy,12.21%,21.19%,-6.83%,-1.23%,9.68%,Strong Buy,-25.59%,-46.66%,-19.52%,196.05,175.26,20,14,192.23,5.36%,-46.96%,-48.77%
QCOM,22.74%,Buy,9.29%,10.96%,,16.40%,21.22%,Buy,96.50%,60.16%,20.17%,203.64,165.91,25,20,201.11,10.15%,10.00%,17.01%
CAT,-6.85%,Buy,1.81%,2.20%,4.40%,0.00%,,,0.60%,10.52%,0.36%,357.12,383.37,18,,,2.98%,-2.08%,2.93%
ISRG,-3.41%,Buy,16.92%,14.18%,13.71%,18.51%,,,6.32%,39.69%,16.57%,497.62,515.17,21,,,17.42%,16.62%,16.42%
DHR,14.82%,Buy,5.88%,11.67%,6.57%,14.35%,,,53.17%,18.75%,49.27%,287.12,250.07,17,,,8.99%,0.38%,1.17%
INTU,18.16%,Buy,12.30%,14.96%,15.01%,,21.47%,Strong Buy,506.96%,89.13%,182.37%,731.22,618.83,19,10,751.67,7.49%,14.39%,15.93%
VZ,11.49%,Buy,2.02%,2.81%,2.10%,13.16%,17.14%,Buy,,72.39%,11.43%,46.00,41.26,17,6,48.33,4.43%,3.47%,3.84%
DIS,22.51%,Strong Buy,4.00%,4.42%,4.74%,43.12%,30.05%,Strong Buy,670.77%,287.39%,41.71%,118.38,96.63,22,9,125.67,7.01%,3.72%,6.69%
RY,15.71%,Strong Buy,6.06%,7.29%,,,,,12.03%,18.05%,6.42%,142.50,123.15,2,,,,,
GS,0.13%,Buy,5.26%,14.69%,3.21%,12.78%,0.21%,Buy,51.07%,65.44%,1.88%,527.63,526.96,17,11,528.09,6.16%,17.79%,15.69%
AMGN,3.91%,Buy,2.90%,6.06%,5.00%,12.43%,19.01%,Buy,286.83%,58.98%,,331.78,319.29,20,1,380.00,8.58%,20.15%,9.70%
PDD,49.33%,Strong Buy,28.05%,19.35%,25.49%,,,,87.51%,108.09%,63.79%,182.40,122.15,10,,,47.04%,66.60%,49.22%
CMCSA,12.12%,Buy,-0.46%,4.77%,2.03%,10.82%,,,17.23%,16.71%,13.50%,47.72,42.56,17,,,2.56%,4.21%,4.96%
